"filename", "language", "TypeScript", "JSON with Comments", "HTML", "JSON", "vue", "SCSS", "XML", "comment", "blank", "total"
"e:\AdmitGenius\frontend\auto-imports.d.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 7, 1, 88
"e:\AdmitGenius\frontend\components.d.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 5, 2, 73
"e:\AdmitGenius\frontend\env.d.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 4, 3, 18
"e:\AdmitGenius\frontend\index.html", "HTML", 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"e:\AdmitGenius\frontend\package-lock.json", "JSON", 0, 0, 0, 4895, 0, 0, 0, 0, 1, 4896
"e:\AdmitGenius\frontend\package.json", "JSON", 0, 0, 0, 38, 0, 0, 0, 0, 1, 39
"e:\AdmitGenius\frontend\src\App.vue", "vue", 0, 0, 0, 0, 22, 0, 0, 0, 3, 25
"e:\AdmitGenius\frontend\src\api\index.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 14, 18, 135
"e:\AdmitGenius\frontend\src\api\mockService.ts", "TypeScript", 151, 0, 0, 0, 0, 0, 0, 21, 28, 200
"e:\AdmitGenius\frontend\src\api\services\auth.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 12, 3, 28
"e:\AdmitGenius\frontend\src\api\services\essay.ts", "TypeScript", 148, 0, 0, 0, 0, 0, 0, 19, 15, 182
"e:\AdmitGenius\frontend\src\api\services\forum.ts", "TypeScript", 330, 0, 0, 0, 0, 0, 0, 87, 50, 467
"e:\AdmitGenius\frontend\src\api\services\mock.ts", "TypeScript", 149, 0, 0, 0, 0, 0, 0, 22, 6, 177
"e:\AdmitGenius\frontend\src\api\services\profile.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 2, 10, 57
"e:\AdmitGenius\frontend\src\api\services\recommendation.ts", "TypeScript", 91, 0, 0, 0, 0, 0, 0, 50, 14, 155
"e:\AdmitGenius\frontend\src\api\services\statistics.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 18, 6, 35
"e:\AdmitGenius\frontend\src\api\services\user.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 27, 10, 85
"e:\AdmitGenius\frontend\src\assets\dashboard-hero.svg", "XML", 0, 0, 0, 0, 0, 0, 27, 8, 10, 45
"e:\AdmitGenius\frontend\src\assets\styles\main.scss", "SCSS", 0, 0, 0, 0, 0, 119, 0, 9, 22, 150
"e:\AdmitGenius\frontend\src\config.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 35, 6, 55
"e:\AdmitGenius\frontend\src\config\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"e:\AdmitGenius\frontend\src\env.d.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 3, 3, 17
"e:\AdmitGenius\frontend\src\layouts\AuthLayout.vue", "vue", 0, 0, 0, 0, 161, 0, 0, 0, 22, 183
